,Instrument,Date,ESG Score,Environmental Pillar Score,Social Pillar Score,Governance Pillar Score
0,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
1,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
2,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
3,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
4,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
5,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
6,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
7,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
8,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
9,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
10,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
11,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
12,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
13,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
14,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
15,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
16,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
17,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
18,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
19,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
20,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
21,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
22,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
23,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
24,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
25,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
26,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
27,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
28,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
29,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
30,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
31,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
32,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
33,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
34,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
35,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
36,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
37,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
38,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
39,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
40,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
41,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
42,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
43,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
44,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
45,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
46,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
47,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
48,DHLn.DE,2022-12-31T00:00:00Z,73.548686814966,78.9217854735423,74.3501827195287,66.0590237487429
